1,name,affiliation,homepage,scholarid,name,,name
18,A. I. Ovchinnikov,CUNY,http://qcpages.qc.cuny.edu/~aovchinnikov,JmOotdkAAAAJ,A.,I.,Ovchinnikov
19,A. J. Field,Imperial College London,http://wp.doc.ic.ac.uk/ajf,rn3Lg2wAAAAJ,A.,J.,Field
20,A. J. H. Hidders,Birkbeck University of London,https://www.dcs.bbk.ac.uk/about/people/academic-staff/hidders-jan,EHD4dXkAAAAJ,A.,J. H.,Hidders
21,A. J. Jansen,CWI,http://homepages.cwi.nl/~jack,qHiBTg0AAAAJ,A.,J.,Jansen
22,A. J. Kfoury,Boston University,http://www.cs.bu.edu/~kfoury,VpdYemsAAAAJ,A.,J.,Kfoury
23,A. J. Ko 0001,University of Washington,http://faculty.washington.edu/ajko,otmdDLoAAAAJ,A.,J. Ko,0001
24,A. Jefferson Offutt,George Mason University,http://cs.gmu.edu/~offutt,fAeRp3kAAAAJ,A.,Jefferson,Offutt
25,A. John Power,University of Bath,http://www.bath.ac.uk/comp-sci/contacts/academics/john_power,mCvZPDn8heUC,A.,John,Power
26,A. K. McIver,Macquarie University,https://researchers.mq.edu.au/en/persons/annabelle-mciver,9fvUO9QAAAAJ,A.,K.,McIver
27,A. M. A. Hemmatyar,Sharif University of Technology,http://sharif.edu/~hemmatyar,NOSCHOLARPAGE,A.,M. A.,Hemmatyar
28,A. Min Tjoa,TU Wien,http://www.ifs.tuwien.ac.at/tjoa,x8qCMhcAAAAJ,A.,Min,Tjoa
29,A. Mokhade,VNIT Nagpur,https://vnit.ac.in/engineering/cse/dr-a-s-mokhade,OS8D5xkAAAAJ,A.,,Mokhade
30,A. Murat Ozbayoglu,TOBB ETÜ,http://mozbayoglu.etu.edu.tr,rNLLqKoAAAAJ,A.,Murat,Ozbayoglu
31,A. Neil Arnason,University of Manitoba,http://www.cs.umanitoba.ca/~arnason,NOSCHOLARPAGE,A.,Neil,Arnason
32,A. P. Sarath Chandar,Polytechnique Montreal,http://sarathchandar.in,yxWtZLAAAAAJ,A.,P. Sarath,Chandar
33,A. P. Vinod 0001,Nanyang Technological University,http://www.ntu.edu.sg/home/asvinod,NOSCHOLARPAGE,A.,P. Vinod,0001
34,A. Pavan 0001,Iowa State University,http://www.cs.iastate.edu/people/pavan-aduri,4QIV0FUAAAAJ,A.,Pavan,0001
35,A. Prasad Sistla,University of Illinois at Chicago,https://www.cs.uic.edu/Sistla,NOSCHOLARPAGE,A.,Prasad,Sistla
36,A. Prasad Vinod,Nanyang Technological University,http://www.ntu.edu.sg/home/asvinod,NOSCHOLARPAGE,A.,Prasad,Vinod
37,A. Prasad Vinod 0001,Nanyang Technological University,http://www.ntu.edu.sg/home/asvinod,NOSCHOLARPAGE,A.,Prasad Vinod,0001
38,A. Rau-Chaplin,Dalhousie University,https://www.cs.dal.ca/~arc,NOSCHOLARPAGE,A.,,Rau-Chaplin
39,A. Robert Calderbank,Duke University,https://ece.duke.edu/faculty/robert-calderbank,XtUBAtwAAAAJ,A.,Robert,Calderbank
40,A. Rupam Mahmood,University of Alberta,https://armahmood.github.io,YwB8XM4AAAAJ,A.,Rupam,Mahmood
41,A. S. M. Hoque,BUET,https://cse.buet.ac.bd/faculty_list/detail/asmlatifulhoque,3-Sb7tMAAAAJ,A.,S. M.,Hoque
42,A. S. M. Latiful Hoque,BUET,https://cse.buet.ac.bd/faculty_list/detail/asmlatifulhoque,3-Sb7tMAAAAJ,A.,S. M. Latiful,Hoque
43,A. S. Madhukumar,Nanyang Technological University,http://www3.ntu.edu.sg/home/asmadhukumar,mF-F-zkAAAAJ,A.,S.,Madhukumar
44,A. S. Nemirovskii 0001,Georgia Institute of Technology,https://www.isye.gatech.edu/users/arkadi-nemirovski,3QxoymwAAAAJ,A.,S. Nemirovskii,0001
45,A. Selcuk Uluagac,Florida International University,http://nweb.eng.fiu.edu/selcuk,tcK62uAAAAAJ,A.,Selcuk,Uluagac
46,A. Sima Etaner-Uyar,Istanbul Technical University,http://akademi.itu.edu.tr/en/etaner,qvxemZwAAAAJ,A.,Sima,Etaner-Uyar
47,A. T. Burrell,Oklahoma State University,https://cs.okstate.edu/~tburrell,NOSCHOLARPAGE,A.,T.,Burrell
48,A. T. Chamillard,UCCS,http://www.uccs.edu/cs/about/faculty/tim-chamillard.html,NOSCHOLARPAGE,A.,T.,Chamillard
49,A. Taylan Cemgil,Boğaziçi University,https://www.cmpe.boun.edu.tr/~cemgil,X3ZFZ7AAAAAJ,A.,Taylan,Cemgil
50,A. Th. Schreiber,VU Amsterdam,http://www.cs.vu.nl/~guus,lRZKdMYAAAAJ,A.,Th.,Schreiber
51,A. Udaya Shankar,University of Maryland - College Park,https://www.cs.umd.edu/users/shankar,NOSCHOLARPAGE,A.,Udaya,Shankar
52,A. V. Sreejith,IIT Goa,https://www.iitgoa.ac.in/~sreejithav,6LVNqAMAAAAJ,A.,V.,Sreejith
53,A. V. Subramanyam,IIIT Delhi,http://www.iiitd.ac.in/subramanyam,B0Hy8NkAAAAJ,A.,V.,Subramanyam
54,A. W. Roscoe 0001,University of Oxford,http://www.cs.ox.ac.uk/bill.roscoe,miixtKcAAAAJ,A.,W. Roscoe,0001
55,A. William Roscoe,University of Oxford,http://www.cs.ox.ac.uk/bill.roscoe,miixtKcAAAAJ,A.,William,Roscoe
56,A. Yurdakul,Boğaziçi University,https://www.cmpe.boun.edu.tr/~yurdakul,6UUbTP4AAAAJ,A.,,Yurdakul
57,Aaditeshwar Seth,IIT Delhi,http://www.cse.iitd.ernet.in/~aseth,XpOIYBoAAAAJ,Aaditeshwar,,Seth
58,Aamena Al Shamsi,Masdar Institute,https://www.masdar.ac.ae/aboutus/management/faculty-directory/item/6602-aamena-ali-al-shamsi,45uuU3gAAAAJ,Aamena,,Al Shamsi
59,Aamena Alshamsi,Masdar Institute,https://www.masdar.ac.ae/aboutus/management/faculty-directory/item/6602-aamena-ali-al-shamsi,45uuU3gAAAAJ,Aamena,,Alshamsi
60,Aamir Cheema,Monash University,http://www.aamircheema.com,chWbG70AAAAJ,Aamir,,Cheema
61,Aanjhan Ranganathan,Northeastern University,https://www.aanjhan.com,Jid_EAkAAAAJ,Aanjhan,,Ranganathan
62,Aapo Hyvärinen,University of Helsinki,https://www.cs.helsinki.fi/u/ahyvarin,UnrY-40AAAAJ,Aapo,,Hyvärinen
63,Aarne Ranta,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/aarne-ranta.aspx,NOSCHOLARPAGE,Aarne,,Ranta
64,Aaron Bernstein,New York University,https://wp.nyu.edu/tandonschoolofengineering-aaronbernstein,N94spO0AAAAJ,Aaron,,Bernstein
65,Aaron Bobick,Washington University in St. Louis,https://engineering.wustl.edu/faculty/Aaron-Bobick.html,rynvwScAAAAJ,Aaron,,Bobick
66,Aaron C. Courville,University of Montreal,https://aaroncourville.wordpress.com,km6CP8cAAAAJ,Aaron,C.,Courville
67,Aaron Chen 0001,Victoria University of Wellington,https://ecs.victoria.ac.nz/Main/AaronChen,YLB6tnwAAAAJ,Aaron,Chen,0001
68,Aaron Clauset,University of Colorado Boulder,https://www.colorado.edu/faculty/clauset,e7VI_HcAAAAJ,Aaron,,Clauset
69,Aaron D. Striegel,University of Notre Dame,https://engineering.nd.edu/profiles/astriegel,w88NouMAAAAJ,Aaron,D.,Striegel
70,Aaron F. Bobick,Washington University in St. Louis,https://engineering.wustl.edu/faculty/Aaron-Bobick.html,rynvwScAAAAJ,Aaron,F.,Bobick
71,Aaron Henry Potechin,University of Chicago,http://www.potechin.org/aaronpotechin,z28rttMAAAAJ,Aaron,Henry,Potechin
72,Aaron J. Elmore,University of Chicago,http://people.cs.uchicago.edu/~aelmore,bEXfdkoAAAAJ,Aaron,J.,Elmore
73,Aaron Leon Roth,University of Pennsylvania,http://www.cis.upenn.edu/~aaroth,kLUQrrYAAAAJ,Aaron,Leon,Roth
74,Aaron M. Dollar,Yale University,https://seas.yale.edu/faculty-research/faculty-directory/aaron-m-dollar,jFekO3IAAAAJ,Aaron,M.,Dollar
75,Aaron McFadyen,Queensland University of Technology,https://research.qut.edu.au/qcr/people/aaron-mcfadyen,vXjZnIkAAAAJ,Aaron,,McFadyen
76,Aaron Potechin,University of Chicago,http://www.potechin.org/aaronpotechin,z28rttMAAAAJ,Aaron,,Potechin
77,Aaron Roth 0001,University of Pennsylvania,http://www.cis.upenn.edu/~aaroth,kLUQrrYAAAAJ,Aaron,Roth,0001
78,Aaron Schulman,Univ. of California - San Diego,http://cseweb.ucsd.edu/~schulman,OP27m34AAAAJ,Aaron,,Schulman
79,Aaron Sidford,Stanford University,http://www.aaronsidford.com,SWqd2rgAAAAJ,Aaron,,Sidford
80,Aaron Steven White,University of Rochester,http://aaronstevenwhite.io,R-ZVWNEAAAAJ,Aaron,Steven,White
81,Aaron Striegel,University of Notre Dame,https://engineering.nd.edu/profiles/astriegel,w88NouMAAAAJ,Aaron,,Striegel
82,Aaron Stump,University of Iowa,https://www.cs.uiowa.edu/~astump,568MtVQAAAAJ,Aaron,,Stump
83,Aaron Visaggio,University of Sannio,https://www.unisannio.it/it/users/corrado-aaron-visaggio,bNMLhsIAAAAJ,Aaron,,Visaggio
84,Aart Middeldorp,University of Innsbruck,http://cl-informatik.uibk.ac.at/users/ami,R9MO_3AAAAAJ,Aart,,Middeldorp
85,Aarti Gupta,Princeton University,https://www.cs.princeton.edu/people/profile/aartig,S_jYB2sAAAAJ,Aarti,,Gupta
86,Aarti Sathyanarayana,Northeastern University,https://www.aartisathyanarayana.org,gIvDmmEAAAAJ,Aarti,,Sathyanarayana
87,Aarti Singh,Carnegie Mellon University,http://www.cs.cmu.edu/~aarti,6jP3ZSEAAAAJ,Aarti,,Singh
88,Aasa Feragen,DTU,http://www2.compute.dtu.dk/~afhar,MNDVpoUAAAAJ,Aasa,,Feragen
89,Aastha Mehta,University of British Columbia,https://aasthakm.github.io,l1jObzoAAAAJ,Aastha,,Mehta
90,Aayush Jain,Carnegie Mellon University,https://sites.google.com/view/aayushjain,VZ6S70MAAAAJ,Aayush,,Jain
91,Abbas Edalat,Imperial College London,https://www.doc.ic.ac.uk/~ae,KP1AXgwAAAAJ,Abbas,,Edalat
92,Abbas Heydarnoori,Sharif University of Technology,http://sharif.edu/~heydarnoori,s5vgK3kAAAAJ,Abbas,,Heydarnoori
93,Abbe Mowshowitz,CUNY,https://www.ccny.cuny.edu/profiles/abbe-mowshowitz,KwmExSIAAAAJ,Abbe,,Mowshowitz
94,Abbes Amira,Qatar University,http://www.qu.edu.qa/engineering/computer/faculty/abbes.php,yp_wQZMAAAAJ,Abbes,,Amira
95,Abby Stylianou,Saint Louis University,https://cs.slu.edu/people/stylianou,mNoB9SgAAAAJ,Abby,,Stylianou
96,Abdallah Saffidine,UNSW,http://www.cse.unsw.edu.au/~abdallahs,yWzT7LAAAAAJ,Abdallah,,Saffidine
97,Abdel Latif Abu Dalhoum,University of Jordan,http://eacademic.ju.edu.jo/a.latif,zXiv9G8AAAAJ,Abdel,Latif Abu,Dalhoum
98,AbdelRahman Abdou,Carleton University,http://people.scs.carleton.ca/~abdou,qEl1DpQAAAAJ,AbdelRahman,,Abdou
99,Abdelaziz Bouras,Qatar University,http://www.qu.edu.qa/engineering/computer/faculty/abdelaziz_bouras.php,QKaJ_JgAAAAJ,Abdelaziz,,Bouras
100,Abdelfattah Amamra,University of Connecticut,http://www.cse.uconn.edu/people/faculty,cXl_OFIAAAAJ,Abdelfattah,,Amamra
101,Abdelhakim Hafid,University of Montreal,http://www.iro.umontreal.ca/~ahafid,NOSCHOLARPAGE,Abdelhakim,,Hafid
102,Abdelhakim Senhaji Hafid,University of Montreal,http://www.iro.umontreal.ca/~ahafid,NOSCHOLARPAGE,Abdelhakim,Senhaji,Hafid
103,Abdelkarim Erradi,Qatar University,http://www.qu.edu.qa/engineering/computer/faculty/erradi.php,2VhGiuAAAAAJ,Abdelkarim,,Erradi
104,Abdelmounaam Rezgui,New Mexico Tech,http://nmt.edu/academics/compsci/faculty/arezgui.php,QUuC8lAAAAAJ,Abdelmounaam,,Rezgui
105,Abdelsalam (Sumi) Helal,University of Florida,http://www.cise.ufl.edu/~helal,NOSCHOLARPAGE,Abdelsalam,(Sumi),Helal
106,Abdelsalam Helal,University of Florida,http://www.cise.ufl.edu/~helal,NOSCHOLARPAGE,Abdelsalam,,Helal
107,Abdeltawab M. A. Hendawi,University of Rhode Island,https://homepage.cs.uri.edu/~ahendawi,ad3Gki4AAAAJ,Abdeltawab,M. A.,Hendawi
108,Abdeltawab M. Hendawi,University of Rhode Island,https://homepage.cs.uri.edu/~ahendawi,ad3Gki4AAAAJ,Abdeltawab,M.,Hendawi
109,Abdeslam Boularias,Rutgers University,http://www.abdeslam.net,8AF3RCsAAAAJ,Abdeslam,,Boularias
110,Abdol-Hossein Esfahanian,Michigan State University,http://www.cse.msu.edu/~esfahani,NOSCHOLARPAGE,Abdol-Hossein,,Esfahanian
