Acronym,full_name,conference_rank,academic_society
MOMM,International Conference on Advances in Mobile Computing and Multimedia,B,other
MPC,Mathematics of Program Construction,B,other
MPCS,International Conference on Massively Parallel Computing Systems,B,other
MPPOI,Massively Parallel Processing Using Optional Interconnections,B,other
SUMMIT,Machine Translation Summit MT,B,other
NSDI,"Symposium on Networked Systems, Design and Implementation",B,other
NSS,International Conference on network and System Security,B,other
ODP,IFIP International Conference on Open Distributed Processing,B,other
OPODIS,International Conference on Principles of Distributed Systems,B,other
ORGSEM,The organizational semiotics Conference,B,other
OZCHI,Australian Computer Human Interaction Conference,B,other
OzWIT,Australian Women in IT Conference,B,other
PACES,Pacific Asian Conference on Expert Systems,B,other
PacificVis,IEEE Pacific Visualization Symposium (was APVIS),B,IEEE
PACLIC,"Pacific Asia Conference on Language, Information and Computation",B,other
PACLING,Conference of the Pacific Association for Computational Linguistics,B,other
PADL,Practical Aspects of Declarative Languages,B,other
PADS,ACM/IEEE/SCS Workshop on Parallel and Distributed Simulation,B,ACM+IEEE
PAM,Passive and Active Measurement Conference,B,other
PASTE,ACM SIGSOFT Workshop on Program Analysis for Software Tools and Engineering,B,ACM
PATAT,Practice and Theory of Automated Timetabling,B,other
PDC,Participatory Design Conference,B,other
PDCAT,"International Conference on Parallel and Distributed Computing, Applications and Technologies",B,other
PDPTA,International Conference on Parallel and Distributed Processing Techniques and Applications,B,other
PEPM,ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation,B,ACM
Persuasive,International Conference on Persuasive Technology,B,other
PET,International Workshop of Privacy Enhancing Technologies,B,other
PKAW,Pacific Rim Knowledge Acquisition Workshop,B,other
PKC,International Conference/Workshop on Practice and Theory in Public Key Cryptography,B,other
PLOP,Pabern Languages of Programs,B,other
PLOS,Workshop on Programming Languages and Operating Systems,B,other
PPDP,International Conference on Principles and Practice of Declarative Programming,B,other
PPIG,Annual PPIG Workshop,B,other
PRDC,Pacific Rim International Symposium on Dependable Computing,B,other
PRESENCE,Annual International Workshop on Presence,B,other
PRICAI,Pacific Rim International Conference on Artificial Intelligence,B,other
PRIMA,Pacific Rim International Workshop on Multi Agents,B,other
PROFES,Product Focused Software Process Improvement,B,other
PROMAS,International Workshop Programming Multi Agent Systems,B,other
PROSim,International Workshop on Software Process Simulation and Modelling (now ICSP),B,other
ProvSec,International Conference on Provable Security,B,other
PSI,Ershov Conference,B,other
PSIVT,Pacific Rim Symposium on Image and Video Technology,B,other
QSIC,International Conference on Quality Software,B,other
QualIT,International Conference on Qualitative Research in IT ti IT in Qualitative Research,B,other
RAID,International Symposium on Recent Advances in Intrusion Detection,B,other
RCIS,International Conference on Research Challenges in Information Science,B,other
RECOMB,International Conference on Computational Molecular Biology,B,other
RecSys,ACM International Conference on Recommender Systems,B,ACM
REFSQ,International Workshop on Requirements Engineering: Foundation for Software Quality,B,other
REV,International Workshop on Requirements Engineering Visualization,B,other
RIDE,International Workshop on Research Issues in Data Engineering,B,other
RoboCup,Robot Soccer World Cup,B,other
RSA,RSA Conference,B,other
SAC,ACM Symposium on Applied Computing,B,ACM
SAC,Selected Areas in Cryptography,B,other
SAFECOMP,"International Conference on Computer Safety, Reliability and Security",B,other
SAGT,International Symposium on Algorithmic Game Theory,B,other
SARA,"Symposium on Abstraction, Reformulation and Approximation",B,other
SBAC PAD,International Symposium on Computer Architecture and High Performance Computing,B,other
SC,International Conference on Software Composition,B,other
SCA,ACM SIGGRAPH/Eurographics Symposium on Computer Animation,B,ACM
SCAI,Scandinavian Conference on Artificial Intelligence,B,other
SCN,Conference on Security and Cryptography for Networks,B,other
SCSC,Summer Computer Simulation Conference,B,other
SEA,International Symposium on Experimental Algorithms,B,other
SEAL,Asia Pacific Conference on Simulated Evolution and Learning,B,other
SECRYPT,International Conference on Information Security and Cryptography,B,other
SEFM,International Conference on Software Engineering and Formal Methods,B,other
SEKE,International Conference on Software Engineering and Knowledge Engineering,B,other
SEQAPP,International Conference on Sequences and their Applications,B,other
SERVICES,IEEE Congress on Services,B,IEEE
SGP,Symposium on Geometry Processing,B,other
ASIA,International Conference on Computer Graphics and Interactive Techniques in Australasia and Southeast Asia SIGGRAPH,B,other
SIGSPATIAL,ACM International Conference on Advances in Geographic Information Systems,B,ACM
SIROCCO,International Colloquium on Structural Information and Communication Complexity,B,other
SLE,International Conference on Software Language Engineering,B,other
SMC,"IEEE Conference on Systems, Man and Cybernetics",B,IEEE
SOFSEM,Current Trends in Theory and Practice of Computer Science,B,other
SoMeT,International Conference on Software Methods and Tools,B,other
SPICIS,Singapore International Conference on Intelligent Systems,B,other
SPIRE,International Symposium on String Processing and Information Retrieval,B,other
SPM,ACM Symposium on Solid and Physical Modelling,B,ACM
SST,Australasian Speech Science and Technology,B,other
STACS,International Symposium on Theoretical Aspects of Computer Science,B,other
STC,ACM Workshop on Scalable Trusted Computing,B,ACM
STEP,Software Technology and Engineering Practice Conference,B,other
SWAT,Scandinavian Workshop on Algorithm Theory,B,other
SWDC,International Conference on Software Development,B,other
Tabletop,International Workshop on Horizontal Interactive Human Computer Systems,B,other
TAMC,Conference on Theory and Applications of Models of Computation,B,other
TAP,International Conference on Tests and Proofs,B,other
TMI,International Conference on Theoretical and Methodological Issues in machine Translation,B,other
TridentCom,Technology of Object Oriented Languages and Systems Europe TOOLS Europe B 0803 Computer Software 44105 Testbeds and Research Infrastructures for the Development of Networks and Communities,B,other
TrustBus,"International Conference on Trust, Privacy and Security in Digital Business",B,other
UIC,International Conference on Ubiquitous and Intelligence Computing,B,other
UKSS,United Kingdom Systems Society,B,other
UM,International Conference on User Modelling (now UMAP),B,other
UMAP,"International Conference on User Modelling, Adaptation, and Personalization (was AH and UM)",B,other
UMC,Unconventional Models of Computation,B,other
UML,Unified Modelling Language,B,other
VCIP,SPIE International Conference on Visual Communications and Image Processing,B,other
VDB,Visual Database Systems,B,other
VecPar,International Conference on Vector and Parallel Processing,B,other
VISSOFT,IEEE International Workshop on Visualizing Software for Understanding and Analysis,B,IEEE
VMCAI,"Verification, Model Checking and Abstract Interpretation",B,other
VR,IEEE Virtual Reality Conference,B,IEEE
VSMM,International Conference on Virtual Systems and MultiMedia,B,other
WABI,Workshop on Algorithms in Bioinformatics,B,other
WAE,Workshop on Algorithm Engineering,B,other
WAOA,Workshop on Approximation and Online Algorithms,B,other
WCC,International Workshop on Coding and Cryptography,B,other
WCES,World Congress on Expert Systems,B,other
WCNN,World Congress on Neural Networks,B,other
WCRE,IEEE Working Conference on Reverse Engineering,B,IEEE
WCW,International Workshop on Web Content Caching and Distribution,B,other
WEA,International Workshop on Efficient Algorithms,B,other
WETICE,International Workshops on Enabling Technologies: Infrastructures for Collaborative Enterprises,B,other
WIDM,ACM Workshop on Web Information and Data Management,B,ACM
WIKISYM,International Symposiums on Wikis,B,other
WoLLIC,"Workshop on Logic, Language, Information and Computation",B,other
WSC,Winter Simulation Conference,B,other
WSCG,"International Conferences in Central Europe on Computer Graphics, Visualization and Computer Vision",B,other
WSDM,ACM International Conference on Web Search and Data Mining,B,ACM
XP,International Conference on extreme Programming and Flexible Processes in Software Engineering,B,other
Computing,"Southeastern International Conference on Combinatorics, Graph Theory, and",C,other
Functions,ECRYPT Workshop on Cryptographic Hash,C,other
Cryptanalysis,ECRYPT Workshop on Tools for,C,other
Benelux,Symposium on Information Theory in the,C,other
Cryptography,The Claude Shannon Workshop on Coding and,C,other
3DIM,3 D Digital Imaging and Modelling,C,other
3DPVT,International Symposium on 3D Data Processing Visualization and Transmission,C,other
3G,International Conference on 3G Mobile Communication Technologies,C,other
AAAC,International Workshop on Advanced Architectures and Algorithms for Internet Delivery and Applications AAA IDEA C 0806 Information Systems 44077 Symposium of Asian Association for Algorithms and Computation,C,other
AAIM,Conference on Algorithmic Aspects in Information and Management,C,other
ACAC,Athens Colloquium on Algorithms and Complexity,C,other
ACAC,Australasian Computer Architecture Conference,C,other
ACAI,Advanced Course on Artificial Intelligence,C,other
ACC,Applied Computing Conference,C,other
ACCMCC,Australasian Conference on Combinatorial Mathematics and Combinatorial Computing,C,other
ACEC,Australasian Computers in Education Conference,C,other
ACG,"Workshop on Algorithms, Combinatorics, and Geometry",C,other
ACHI,International Conference on Advances in Computer Human Interactions,C,other
ACID,Algorithms and Complexity in Durham,C,other
ACII,International Conference on Affective Computing and Intelligent,C,other
ACMA,Australasian Computer Music Conference,C,other
ACNN,Australian Conference on Neural Networks,C,other
ACOSM,Australian Conference on Software Metrics,C,other
ACP4IS,"Workshop on Aspects, Components, and Paberns for Infrastructure Software",C,other
ACS,Australian Supercomputing Conference,C,other
ADVIS,Advances in Information Systems,C,other
AFAANZ,Accounting and Finance Association of Australia and New Zealand Conference,C,other
AFIPS,American Federation of Information Processing Societies,C,other
AFRIGRAPH,"International Conference on Computer Graphics, Virtual Reality, Visualisation and Interaction in Africa",C,other
AGDC,Australian Game Developers Conference,C,other
AICCSA,ACS/IEEE International Conference on Computer Systems and Applications,C,IEEE
AICE,Australian Institute of Computer Ethics Conference,C,other
AIKM,Artificial Intelligence in Knowledge Management,C,other
AIPR,International Conference on Artificial Intelligence and Pabern Recognition,C,other
AIRS,Asia Information Retrieval Symposium,C,other
AIS,Advances in Intelligent Systems,C,other
AISAT,International Conference on Artificial Intelligence in Science and Technology,C,other
AISP,Australasia Conference on Information Security and Privacy,C,other
AISW,"Workshop on Australasian Information Security, Data Mining and Web Intelligence, and Software Internationalisation",C,other
AISW PET,Australasian Information Security Workshop 2007 (Privacy Enhancing Technologies),C,other
AITC,Advances in the Theory of Computing,C,other
AJWIES,Australia Japan Joint Workshop on Intelligent and Evolutionary Systems,C,other
AKAW,Australian Knowledge Acquisition Workshop,C,other
ALICE,"SIAM Workshop on Algorithms for Listing, Counting, and Enumeration",C,other
ALPIT,International Conference on Advanced Language Processing and Web Information Technology,C,other
AMAST,Algebraic Methodology and Software Technology,C,other
AmI,European Conference on Ambient Intelligence,C,other
AMIGE,IEEE Symposium on Advanced Management of Information for Globalized Enterprises,C,IEEE
Aml.d,Ambient Intelligence Developments,C,other
AMOC,Asian International Mobile Computing Conference,C,other
AMS,Asia International Conference on Modelling and Simulation,C,other
ANNES,Conference on Artificial Neural Networks and Expert systems,C,other
ANSS,Annual Simulation Symposium,C,other
ANZAM,Australian and New Zealand Academy of Management Conference,C,other
ANZIIS,Australian and New Zealand Intelligent Information Systems Conference,C,other
ANZMAC,Australian and New Zealand Marketing Academy Conference,C,other
ANZMODS,The Modelling and Simulation Society of Australia and New Zealand Meeting,C,other
AO Asia,Aspect Orientation Asia,C,other
AOIR,Internet Research,C,other
AOM,Workshop on Aspect Oriented Modelling,C,other
AOSE,Agent Oriented Software Engineering Workshop,C,other
APDSI,Asia Pacific Decision Science Institute Conference,C,other
APGV,Applied Perception in Graphics and Visualization,C,other
APNOMS,Asia Pacific Network Operations and Management Symposium,C,other
APORS,Conference of the Association of Asian Pacific Operational Research Societies,C,other
APRSAIS,Asia Pacific Research Symposium on Accounting Information Systems,C,other
APRTS,Australasian Conference on Parallel and Real Time Systems,C,other
APSCC,Asia Pacific Services Computing Conference,C,other
APSEC,Asia Pacific Software Engineering Conference,C,other
APVIS,Asia Pacific Symposium on Visualisation,C,other
APWEB,Asia Pacific Web Conference,C,other
AQSDT,Symposium on Assessment of Quality S/W Dev Tools,C,other
ARACNE,Workshop on Approximation and Randomization Algorithms in Communication Networks,C,other
ARITH,IEEE Symposium on Computer Arithmetic,C,IEEE
AROB,International Symposium on Artificial Life and Robotics,C,other
ARTDB,Active and Real Time Database Systems,C,other
ArtsIT,International Conference on Arts and Technology,C,other
ARVLSI,Advanced Research in VLSI,C,other
ASAI,Argentine Symposium on Artificial Intelligence,C,other
ASCILITE,Annual Conference of the Australasian Society for Computers in Learning in Tertiary Education,C,other
ASCM,Asian Symposium on Computer Mathematics,C,other
ASM(W),International Workshop on Abstract State Machines,C,other
ASR,ISCA Tutorial and Research Workshop Automatic Speech Recognition,C,other
ASRU,IEEE Automatic Speech Recognition and Understanding Workshop,C,IEEE
AST,Automation of Software Test,C,other
ATC,International Conference on Autonomic and Trusted Computing,C,other
ATMOS,"Workshop on Algorithmic Approaches for Transportation Modelling, Optimization, and Systems",C,other
AUC,Workshop on Ad Hoc and Ubiquitous computing,C,other
AUCADC,Apple University Consortium Academic and Developers Conference,C,other
AuCSS,Australasian Cognitive Science Society Conference,C,other
AURISA,Australasian Urban and Regional Information Systems Association Conference,C,other
AuRW,Australasian Refinement Workshop,C,other
AusGrid,Australasian Symposium on Grid Computing and e Research (now AusPDC),C,other
AusPDC,Australasian Symposium on Parallel and Distributed Computing (was AusGrid),C,other
AusWeb,Australian World Wide Web Conference,C,other
AUUG,Australian UNIX Users Group National Conference,C,other
AWIC,International Atlantic Web Intelligence Conference,C,other
AWSA,Australian Workshop on Software Architecture,C,other
BCS FMW,British Computer Society Formal Aspects of Computing Science Specialist Group Workshop,C,other
BCTCS,British Colloquium for Theoretical Computer Science,C,other
BFCA,International Workshop on Boolean Functions: Cryptography and Applications,C,other
BIBE,IEEE Bioinformatics and Bioengineering,C,IEEE
BICC,IFIP Conference on Biologically Inspired Collaborative Computing,C,other
BioViz,Bioinformatics Visualization,C,other
BPD,International Workshop on Business Process Design,C,other
BPI,International Workshop on Business Process Intelligence,C,other
BPMDS,"International Workshop on Business Process Modelling, Development, and Support",C,other
BSN,Body Sensor Networks,C,other
BuiltViz,Visualisation in Built Environment,C,other
C#,International Workshop on C# and .NET Technologies,C,other
C5,International Conference on Creating Connecting and Collaborating through Computing,C,other
CAINE,ISCA International Conference on Computer Applications in Industry and Engineering,C,other
CAivDE,"Computer Animation, Information Visualisation, and Digital Effects",C,other
CanaDAM,Canadian Discrete and Algorithmic Mathematics Conference,C,other
CATA,International Conference on Computers and their Applications,C,other
CCA,International Conference on Computability and Complexity in Analysis,C,other
CCCG,Canadian Conference on Computational Geometry,C,other
CCG,Workshop on Computational and Conformal Geometry,C,other
CCSC,Journal of Computing Science in Colleges (Conference proceedings),C,other
CDB,Constraint Databases and Applications,C,other
CDVE,"Cooperative Design, Visualization, and Engineering",C,other
CEC,IEEE Conference on Electronic Commerce Technology (merger of CEC and EEE),C,IEEE
CEG,Computing in Education Group of Victoria Conference,C,other
CERE,International Workshop on Comparative Evaluation in Requirements Engineering,C,other
CERIAS,Information Security Symposium,C,other
CFET,International Conference on Cybercrime Forensics Education and Training,C,other
CFP,"Conference on Computers, Freedom, and Privacy",C,other
CGA,Workshop on Computational Geometry and Applications,C,other
CGAL,CGAL User Workshop,C,other
CGC,CGC Workshop on Computational Geometry,C,other
CGIE,Joint International Conference on CyberGames and Interactive Entertainment,C,other
CGIV,"International Conference Computer Graphics, Imaging and Visualization",C,other
CGTDG,Conference on Graph Theory and Discrete Geometry,C,other
CGW,Annual Fall Workshop on Computational Geometry,C,other
CHES,Workshop on Cryptographic Hardware and Embedded Systems,C,other
ChiliPLoP,Southwestern Conference on Pabern Languages of Programs,C,other
ChinaGrid,ChinaGrid Annual Conference,C,other
CHINZ,ACM SIGCHI_NZ Conference on Human Computer Interaction,C,ACM
CHKV,Cultural Heritage Knowledge Visualisation,C,other
CIAC,International Conference on Algorithms and Complexity (was Italian Conference ),C,other
CIARP,IberoAmerican Congress on Pabern Recognition,C,other
CIC,International Conference on Communications in Computing,C,other
CiE,Computability in Europe: Logic and Theory of Algorithms,C,other
CIEAEM,Conference of the Commission Internationale pour l'Etude et l'Amelioration de l'Enseignement des Mathematiques,C,other
CIG,IEEE Symposium on Computational Intelligence and Games,C,IEEE
CIHSPS,IEEE International Conference on Intelligence for Homeland Security and Personal Safety,C,IEEE
CIISP,IEEE Symposium on Computational Intelligence in Image and Signal Processing,C,IEEE
CIMA,International Workshop on Combinations of Intelligent Methods and Applications,C,other
CIMCA,"International Conference on Computational Intelligence for Modelling, Control and Automation",C,other
CIMSA,IEEE International Conference on Computational Intelligence for Measurement Systems and Applications,C,IEEE
CIRAS,"International Conference on Computational Intelligence, Robotics and Autonomous Systems",C,other
CIS,IEEE International Conference on Cybernetics and Intelligent Systems,C,IEEE
CIS,International Conference on Computational Intelligence and Security,C,other
CISE,International Conference on Computational Intelligence and Software Engineering,C,other
CISIM,International Conference on Computer Information Systems and Industrial Management Applications,C,other
CISIS,"International Conference on Complex, Intelligent and Software Intensive Systems",C,other
CISS,Conference on Information Sciences and Systems,C,other
CISST,"International Conference Imaging Science, Systems and Technology",C,other
CIT,IEEE International Conference on Computer and Information Technology,C,IEEE
CLADE,Challenges of Large Applications in Distributed Environments,C,other
CLEI,Latin American Conference on Informatics,C,other
CloudCom,International Conference on Cloud Computing,C,other
CMS,Joint Working Conference on Secure Information Networks: Communications and Multimedia Security,C,other
CMV,Coordinated and Multiple Views in Exploratory Visualization,C,other
CNNA,IEEE International Workshop on Cellular Nanoscale Networks and Applications,C,IEEE
CO,International Symposium on Combinatorial Optimisation,C,other
CODAS,International Symposium on Cooperative Database Systems for Advanced Applications,C,other
CODATA,Commibee on Data for Science and Technology,C,other
Com,"International Conference on Collaborative Computing: Networks, Applications and Worksharing Collaborate",C,other
ComAI,Franco Canadian Workshop on Combinatorial Algorithms,C,other
Texas,CombinaTexas: Combinatorics in the South Central U.S. Combina,C,other
Complex,Asia Pacific Conference on Complex Systems,C,other
D,Australasian Compumod Users' Conference COMPUMO,C,other
COMSWARE,International Conference on Communication System Software and Middleware,C,other
CONPAR,Conference on Algorithms and Hardware for Parallel Processing,C,other
CONTEXT,International and Interdisciplinary Conference on Modelling and Using Context,C,other
COR,Conference on Operations Research,C,other
CORIA,Conf??rence en Recherche d'information et Applications,C,other
Cosign,International Conference on Computational Semiotics for Games and New Media,C,other
COV,Complex Objects Visualization Workshop,C,other
CPD,Constraint Programming Day,C,other
CRiSIS,International Conference on Risks and Security of Internet and Systems,C,other
CRITIS,International Workshop on Critical Information Infrastructures Security,C,other
CRV,Canadian Conference on Computer and Robot Vision,C,other
CryPAC,Cryptography Policy and Algorithms Conference,C,other
s,Crypto'Puces Crypto'Puce,C,other
CSC,ACM Annual Computer Science Conference,C,ACM
CSEEtiT,Conference on Software Engineering Education and Training,C,other
CSICC,International CSI Computer Conference,C,other
CSL,Annual Conference of the European Association for Computer Science Logic,C,other
CSMR,European Conference on Software Maintenance and Reengineering,C,other
CSR,International Computer Science Symposium in Russia,C,other
CSRC,Computer Science Research Conference,C,other
CT,Computational Topology Workshop,C,other
CTAC,Computational Techniques and Applications Conference,C,other
CTS,International Symposium on Collaborative Technologies and Systems,C,other
CTW,Cologne Twente Workshop on Graphs and Combinatorial Optimization,C,other
DAARC,Discourse Anaphora and Anaphor Resolution Colloquium,C,other
DAC,Digital Arts and Culture,C,other
DAG,Discrete and Algorithmic Geometry,C,other
DASC,"International Conference on Dependable, Autonomic and Secure Computing",C,other
DASD,"Symposium on Design, Analysis, and Simulation of Distributed Systems",C,other
DASWIS,Data Semantics in Web Information Systems,C,other
DAViz,Design and Aesthetics in Visualisation,C,other
DC,International Conference on Dublin Core and Metadata Applications,C,other
DCM,International Workshop on Developments in Computational Models,C,other
Dcw,Distributed Communities on the Web Workshop,C,other
DDDM,International Workshop on Domain Driven Data Mining,C,other
DECI,"IEEE Information Theory Workshop on Detection, Estimation, Classification and Imaging",C,IEEE
DEPCoS,International Conference on Dependability of Computer Systems,C,other
DFMA,International Conference on Distributed Frameworks for Multimedia Applications,C,other
DGCI,International Conference on Discrete Geometry for Computer Imagery,C,other
DGW,Dynamic Graph Workshop,C,other
DIGRA,Digital Games Research Conference,C,other
DIMA,"Conference on Discrete Mathematics, Algebra and their Application",C,other
Intrinsic,DIMACS Workshop on Intrinsic Complexity of Computation DIMACS,C,other
DIMVA,"GI International Conference on Detection of Intrusions and Malware, and Vulnerability Assessment",C,other
DITW,Internationale Tagung WirtschaGsinformatik,C,other
DIVC,Joint Australia and New Zealand Biennial Conference on Digital Image and Vision Computing,C,other
DM,SIAM Conference on Discrete Mathematics,C,other
DM CCG,"Discrete Models: Combinatorics, Computation and Geometry",C,other
DMDW,Design and Management of Data Warehouses,C,other
DMKD,Workshop on Research Issues in Data Mining and Knowledge Discovery,C,other
DMVC,VisMasters Design Modelling and Visualization Conference,C,other
DP COOL,Workshop on Declarative Programming in the Context of OO Languages,C,other
DRM,ACM Digital Rights Management Workshop,C,ACM
DSAA,International Conference on Database Systems for Advanced Applications,C,other
DSAL,Domain Specific Aspect Languages,C,other
DSI,Annual Meeting of the Decision Sciences Institute,C,other
DSKDB,"International Colloquium on Data Sciences, Knowledge Discovery and Business Intelligence",C,other
DSLSE,Domain Specific Languages for Software Engineering,C,other
DSM,Workshop on Domain Specific Modelling,C,other
DTVE,Workshop on Database Technology for Virtual Enterprises,C,other
DutchCG,Dutch Computational Geometry Day,C,other
EANN,International Conference on Engineering Applications of Neural Networks,C,other
Aspects,Workshop on Aspect Oriented Requirements Engineering and Architecture Design Early,C,other
ECC,European Computing Conference,C,other
ECC,Workshop on Elliptic Curve Cryptography,C,other
ECCO,European Chapter on Combinatorial Optimization,C,other
ECDM,International Workshop on Evolution and Change in Data Management,C,other
ECEG,European Conference on e Government,C,other
ECIME,European Conference on Information Management and Evaluation,C,other
ECIW,European Conference of Information Warfare,C,other
ECOWS,IEEE European Conference on Web Services,C,IEEE
ECRM,European Conference on Research Methodology for Business and Management Studies,C,other
ECSQARU,European Conference on Symbolic and Quantitative Approaches to Reasoning with Uncertainty,C,other
ECUMN,European Conference on Universal Multiservice Networks,C,other
EDM,Symposium on Discrete Mathematics,C,other
EDSER,International Workshop on Economics Driven Software Engineering Research,C,other
EEE,"IEEE International Conference on Enterprise Computing, E Commerce and E Services",C,IEEE
EGC,French Speaking Conference on the Extraction and Management of Knowledge,C,other
EGC,Spanish Meeting on Computational Geometry,C,other
EGEE,Enabling Grids for E Science European Conference,C,other
EICAR,European Institute for Computer Anti Virus Research EICAR Conference,C,other
EISWT,International Conference on Enterprise Information Systems and Web Technologies,C,other
EJC,European Japanese Conference on Information Modelling and Knowledge Bases,C,other
ELW,European Lisp Workshop,C,other
EMMSAD,Exploring Modelling Methods in Systems Analysis and Design,C,other
ENC,Mexican International Conference on Current Trends in Computer Science (was Mexican International Conference on Computer Science),C,other
ENTER,International Conference on Information and Communication Technologies in Tourism,C,other
EOMAS,International Workshop on Enterprise and Organizational Modelling and Simulation,C,other
EP,Annual Conference on Evolutionary Programming,C,other
EQIS,ERATO Conference on Quantum Information Science,C,other
ESAS,European Workshop on Security and Privacy in Ad Hoc and Sensor Networks,C,other
ESCAPE,"Symposium On Combinatorics, Algorithms, Probabilistic and Experimental Methodologies",C,other
ESGICT,European Symposium on Gender and ICT,C,other
EUC,IEEE/IFIP International Conference on Embedded and Ubiquitous Computing,C,IEEE
EUFIT,European Congress on Intelligent Techniques and SoG Computing,C,other
EUMAS,European Workshop on Multi Agent Systems,C,other
EURO,European Conference on Operations Research,C,other
VR,Euro Virtual Reality Euro,C,other
EuroCG,European Workshop on Computational Geometry,C,other
EuroCOLT,European Conference on Computational Learning Theory (Now in COLT),C,other
EUroComb,"EuroConference on Combinatorics, Graph Theory and Applications",C,other
PI,European PVM/MPI Users' Group Conference EuroPVM/M,C,other
EVOTE,International Conference on Electronic Voting,C,other
EVT,USENIX/ACCURATE Electronic Voting Technology Workshop,C,other
Extreme,Extreme Markup Languages,C,other
F and B,Finite Differences Finite Elements Finite Volumes Boundary Elements,C,other
FATES,A Satellite workshop on Formal Approaches to Testing of Software,C,other
FCC,Formal and Computational Cryptography,C,other
FCST,Japan China Joint Workshop on Frontier of Computer Science and Technology,C,other
FDG,International Conference on the Foundations of Digital Games,C,other
FDL,"Forum on Specification, Verification and Design Languages",C,other
FDPE,Functional and Declarative Programming in Education,C,other
FDTC,Workshop on Fault Diagnosis and Tolerance in Cryptography,C,other
FEWFDB,Far East Workshop on Future DB Systems,C,other
FG,IEEE International Conference on Automatic Face and Gesture Recognition,C,IEEE
FIT,International Conference on Frontiers of Information Technology,C,other
FlAIRS,Florida Artificial Intelligence Research Society Conference,C,other
FMICS,Int. Workshop on Formal Methods for Industrial Critical Systems,C,other
FMIS,International Workshop on Formal Methods for interactive Systems,C,other
FMLDO,International Workshop on Foundations of Models and Languages for Data and Objects,C,other
FMOOD,International Conference on Formal Methods for Open Object Based Distributed Systems,C,other
FMP,Formal Methods Pacific,C,other
FMPPTA,International Workshop on Formal Methods for Parallel Programming: Theory and Applications,C,other
FMSE,ACM Workshop on Formal Methods in Security Engineering: From Specifications to Code,C,ACM
FMSEDS,Formal Methods in Software Engineering and Defence Systems Workshop,C,other
FOAL,Foundations of Aspect Oriented Languages,C,other
FOOL,International Workshop on Foundations of Object Oriented Languages,C,other
FOSSACS,Foundations of Software Science and Computational Structures,C,other
FQAS,Flexible Query Answering Systems,C,other
FSKD,International Conference on Fuzzy Systems and Knowledge,C,other
FTDCS,IEEE International Workshop on Future Trends of Distributed Computing Systems,C,IEEE
FTJP,Workshop on Formal Techniques for Java Programs,C,other
FUSE,New Zealand Game Developers Conference,C,other
FUSION,International Conference on Information Fusion,C,other
GADA,"International Conference on Grid computing, high performance and Distributed Applications",C,other
y,MSRI Combinatorial Game Theory Research Workshop GameTheor,C,other
GCA,International Conference on Grid Computing and Applications,C,other
GCC,International Conference on Grid and Cooperative Computing,C,other
GCCCE,Global Chinese Conference on Computers in Education,C,other
GDC,Game Developers Conference,C,other
GEFS,International Workshop on Genetic and Evolutionary Fuzzy Systems,C,other
GeoD,SIAM Conference on Geometric Design,C,other
Uncertainty,Workshop on Uncertainty in Geometric Computations GEOM,C,other
GeomFest,Geometry Festival: An international workshop on Discrete Geometry and Rigidity,C,other
GeoViz,GeoVisualization and Information Visualization,C,other
GHC,Grace Hopper Celebration of Women in Computing,C,other
GI,IEEE Global Internet Symposium,C,IEEE
GISPlanet,GIS Planet Conference,C,other
GO,International Workshop on Global Optimization,C,other
GOCP,International Workshop on Group Oriented Cryptographic Protocols,C,other
GPC,International Conference on Grid and Pervasive Computing,C,other
GRACO,"Brazilian Symposium on Graphs, Algorithms and Combinatorics",C,other
Graph hoc,Workshop on Applications of Graph Theory in Wireless Ad hoc Networks and Sensor Networks,C,other
GrC,IEEE International Conference on Granular Computing,C,IEEE
GWC,International Wordnet Conference (Global Wordnet Conference),C,other
HAI,"International Workshop on Human Aspects in Ambient Intelligence: Agent Technology, Human Oriented Knowledge and Applications",C,other
HAIS,International Conference on Hybrid Artificial Intelligence Systems,C,other
HASKELL,Haskell Workshop,C,other
HealthCom,International Workshop on Enterprise Networking and Computing in Health Care Industry,C,other
Healthinf,International Conference on Health Informatics,C,other
HIC,Health Informatics Conference,C,other
HIPS,International Workshop on High Level Parallel Programming Models and Supportive Environments,C,other
HIS,International Conference on Hybrid Intelligent Systems,C,other
HIS,Human System Interaction,C,other
HLPP,International workshop on High Level Parallel Programming and Applications,C,other
HOTMOBILE,Workshop on Mobile Computing Systems and Applications,C,other
HotP2P,International Workshop on Hot topics in Peer to Peer Systems,C,other
HotSWUp,ACM Workshop on Hot Topics in Software Upgrades,C,ACM
HPCSCanada,High Performance Computing Symposium Canada,C,other
HPGrid,High Performance Grid Computing Workshop (part of IPDPS Conference),C,other
HPSC,International Conference on High Performance Scientific Computing,C,other
HUNABC,Hungarian National Conference on Agent Based Computation,C,other
IAIF,International Workshop on Image Analysis and Information Fusion,C,other
IAIM,Annual Conference of the International Academy for Information Management,C,other
IARTW,IEEE International Augmented Reality Toolkit Workshop,C,IEEE
IAS,International Symposium on Information Assurance and Security,C,other
IAT,IEEE/WIC/ACM International Conference on Intelligent Agent Technology,C,ACM+IEEE
IBPRIA,Iberian Conference on Pabern Recognition and Image Analysis,C,other
IC AI,International Conference on Artificial Intelligence,C,other
